date,tab,block,payee,desc,amount,candidate_vendor,candidate_date,candidate_total,candidate_status,link,docId
2026-08-18,136 Bowling Green,,City of Red Oak,Water,447.47,City of Waxahachie - Water Billing Department,2026-08-14,443.49,pending,https://mail.google.com/mail/u/0/#all/1a016b2fac76a50d,gm-1a016b2fac76a50d
2026-06-29,136 Bowling Green,,Lowe's,Carpet ,431.21,"Lowe's Home Centers, LLC",2026-06-28,187.64,posted,https://drive.google.com/file/d/18AHF8I-xkG6ZKOyBKz5NUN--vR47mqfv/view?usp=drivesdk,gm-19f0fbce663c9387
2026-03-17,104 Ashburne,Pool,Amazon,Aiper Pool Robot,411.34,Amazon,2026-03-17,596.71,pending,https://mail.google.com/mail/u/0/#all/19cfbe563f75f960,gm-19cfbe563f75f960
2026-03-18,104 Ashburne,Small Baths,Floor & Decor,Shower Tile,378.94,Floor and Decor,2026-03-18,423.19,posted,https://drive.google.com/file/d/1jo8RBJdJW8NOtY_k7v8kOzor43LhD1in/view?usp=drivesdk,gm-19d01359eb674ac2
2026-04-01,104 Ashburne,Paint & Flooring,Home Depot,Stair Moldings,350.28,The Home Depot,2026-04-01,281.09,dismissed,https://drive.google.com/file/d/1DQUzfVhHrQ-KzJy5jqxXXLbJpVT687ld/view?usp=drivesdk,gm-19d4918fa3edc702
2026-03-22,104 Ashburne,Lighting & Electrical,Home Depot,"Outlets, GFI's & Switches",307.17,The Home Depot,2026-03-15,313.59,dismissed,https://drive.google.com/file/d/1-edI43EIwShtWAM_tngrOn0saxuC1osZ/view?usp=drivesdk,gm-19cf2444d6efb00f
2026-04-15,104 Ashburne,Landscaping,Julio,Labor,300.00,Julio,2026-03-23,500.00,pending,https://mail.google.com/mail/u/0/#all/19d1cc95a5026d98,gm-19d1cc95a5026d98
2026-06-25,280 Sparkling RECONCILED,,Mission Real Estate Group,MLS Listing,299.00,"CoreLogic Solutions, LLC",2026-06-30,200.00,pending,https://mail.google.com/mail/u/0/#all/19f3911357838426,gm-19f3911357838426
2026-01-14,104 Ashburne,Pest Control,Berret Pest Control,Pest Control,270.63,eBay (seller zmfc86),2026-01-14,378.47,posted,https://mail.google.com/mail/u/0/#all/19c01a73986c43df,gm-19c01a73986c43df
2026-06-22,1616 Granite RECONCILED,,Home Depot,Mulch,264.55,The Home Depot,2026-06-29,62.63,pending,https://mail.google.com/mail/u/0/#all/19f1526194ff1558,gm-19f1526194ff1558
2026-06-30,104 Ashburne,Pool,Atlas Pools,Service,256.01,Atlas Pools,2026-07-25,256.01,posted,https://mail.google.com/mail/u/0/#all/19f99e711bce8059,gm-19f99e711bce8059
2026-02-09,104 Ashburne,House Hardware,Amazon,Drawer pulls,249.97,Amazon,2026-02-09,90.79,posted,https://mail.google.com/mail/u/0/#all/19c51f2daddbeabd,gm-19c51f2daddbeabd
